Router,2014-06 Accepted,2014-06 Delivered,2014-07 Accepted,2014-07 Delivered,2014-08 Accepted,2014-08 Delivered,2014-09 Accepted,2014-09 Delivered,2014-10 Accepted,2014-10 Delivered,2014-11 Accepted,2014-11 Delivered
pantex-rt2,5345139929668,8987779885564,5393741044937,9712086241976,6113778401765,9396605307763,5729532948951,8627880741646,7018014444584,8605149957105,6889316139664,7976787263870
pnwg-cr5,502180048237771,450175036323506,473453235427734,503550403012388,465919211731699,431045723623777,433703796584422,405773889300608,7544954277727150,9949797852954236,586861556427131,630801377283335
pppl-rt5,142479578766397,141104438828286,114875890503150,121096864609027,88599488372554,97710565426007,92390420981063,99224806340647,1588754126851611,1710479288828757,151370603863385,137072828155697
sacr-cr5,55627921097011,50117283827078,67907966115864,99378936631966,70550957676183,75214515535180,59068636094015,56132765347141,625311077065709,630706396109059,107097229687165,99478294382659
sdsc-sdn2,118724995845260,148030040937554,140333519145460,176541908097878,146919420610972,183005754150258,258101687076955,165290749276930,1758478434564089,1886982668341143,151107989357353,158501132315350
slac-mr2,462147747643566,455308609896587,686402358652800,633206025514416,388783582437723,467549455431244,440798673292302,498074861714154,11893413613894428,11359816205507491,414521014085880,510515646726603
snla-rt3,129748111280446,81011428720166,188665831389026,103671349729127,159370121586819,84831530468759,153126564517928,82169581746060,3375664882950735,1719588346022545,168207207664509,74835890531470
snll-mr2,110746140989746,201916154390700,125232926245479,260498025518051,112141675936910,229262931552889,1892283356063178,4306558870064676,211413983162929,367775420888487,152966045019874,277828018619019
snll-rt2,1191338114594,326181039402,1585305963245,437038775282,1859599230054,435926833835,1471312010338,371423748042,2405994612350,738800967207,2020143492620,481762499088
srs-rt2,7545849322418,23817860078700,8312003427471,26881299700907,8450895004034,28567221277189,8679319815551,27097231846405,24070160933592,73817707695127,10129676756288,30442506213834
star-cr5,2346373655188907,2089691013066138,2854266971715506,2731874131942541,3121915923169625,2589714640364641,3249540888400926,3008603310672885,15326409131389121,13343460242317640,3581429654102603,3173131639242705
star-tb1,87390872,2328698130,1279238532873,4276525176,90212672,952886897,79126180,82880195,189484712,207678874,163775709005156,216776527413836
sunn-cr5,1452471029186467,1822263088192707,1244025872594447,1957472642726552,1326847858659946,1804672998569669,1330768954422895,1589749622240811,4858413971000203,6881882427407779,1084028456773989,1299024595849357
wash-ar1,92413521180,479755534095,163483157164,911285634105,81368085074,755549644386,95303091878,698139954778,544098333581,3587581767544,78524174662,473665361958
wash-asw1,1519347173,2748871404,1481799787,2786699016,1372462017,2620515414,1737178500,2518524814,8173939463,13630868901,3859365439,4481302102
wash-cr5,689831804748653,1098849601322080,936114825305121,1493031626691091,753221305000765,1929714454164427,787200600447882,1924442904799975,810709226841120,2472768453850504,1418075941712830,2935627854195638
wash-sdn2,48522959436926,48949608966063,0,0,0,0,0,0,0,0,0,0
Totals:,13886578364095906,13980285173087930,16014818191994971,16134844907184792,15851956029114829,15968131810448538,18163742655379708,20851517523461788,158276081244625996,159281796480029154,17826558569213894,17952016669276598
OSCARS:,2550509752136527,2543353510607475,4093438180045060,3750223651067214,3429393880392189,3577504186476886,3812538797755708,3844802146796789,20391868282081852,16930203738982128,5738546246308694,5704739586517496
Percent OSCARS:,18.366725663183765,18.1924294041114,25.5603162706597,23.24301022191575,21.633884639179673,22.40402464699091,20.989830510654787,18.438956025481986,12.883733361179756,10.629088893472423,32.190993141093685,31.777708831346445
